issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
tutto ok,,,motornet_7c54f7c859db09,electric,Alfa Romeo,Junior BEV elettrica 280 Veloce,Alfa Romeo Junior BEV elettrica 280 Veloce,Alfa Romeo Junior BEV elettrica 280 Veloce,elettrica,,49400.0,motornet_prezzo_di_listino,105.0,143.0,,,18.6,62.1,334.0,,assets/cars/motornet/motornet_7c54f7c859db09.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7194,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7194
tutto ok,,,motornet_eec44bbe4e3604,electric,Alfa Romeo,Junior BEV elettrica Sport Speciale,Alfa Romeo Junior BEV elettrica Sport Speciale,Alfa Romeo Junior BEV elettrica Sport Speciale,elettrica,,44600.0,motornet_prezzo_di_listino,62.0,84.0,,,15.0,62.1,414.0,,assets/cars/motornet/motornet_eec44bbe4e3604.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7249,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7249
tutto ok,,,motornet_3a696dce1e4aa5,electric,Alfa Romeo,Junior BEV elettrica Sprint,Alfa Romeo Junior BEV elettrica Sprint,Alfa Romeo Junior BEV elettrica Sprint,elettrica,,41700.0,motornet_prezzo_di_listino,62.0,84.0,,,15.0,62.1,414.0,,assets/cars/motornet/motornet_3a696dce1e4aa5.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7247,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7247
tutto ok,,,motornet_2bbc5a10e18bc9,electric,Alfa Romeo,Junior BEV elettrica Ti,Alfa Romeo Junior BEV elettrica Ti,Alfa Romeo Junior BEV elettrica Ti,elettrica,,43200.0,motornet_prezzo_di_listino,62.0,84.0,,,15.0,62.1,414.0,,assets/cars/motornet/motornet_2bbc5a10e18bc9.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7248,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7248
tutto ok,,,motornet_adf836ace8396b,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida eDCT6,ibrida_benzina,,31050.0,motornet_prezzo_di_listino,100.0,136.0,4.8,,,,,109.0,assets/cars/motornet/motornet_adf836ace8396b.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7189,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7189
tutto ok,,,motornet_6720b230e191ba,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida Q4 Sport Speciale eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Sport Speciale eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Sport Speciale eDCT6,ibrida_benzina,,39150.0,motornet_prezzo_di_listino,100.0,136.0,5.2,,,,,118.0,assets/cars/motornet/motornet_6720b230e191ba.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7245,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7245
tutto ok,,,motornet_a9850c900551e1,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida Q4 Sprint eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Sprint eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Sprint eDCT6,ibrida_benzina,,35950.0,motornet_prezzo_di_listino,100.0,136.0,5.2,,,,,118.0,assets/cars/motornet/motornet_a9850c900551e1.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7243,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7243
tutto ok,,,motornet_04f433ff6d7764,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida Q4 Ti eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Ti eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Q4 Ti eDCT6,ibrida_benzina,,37450.0,motornet_prezzo_di_listino,100.0,136.0,5.2,,,,,118.0,assets/cars/motornet/motornet_04f433ff6d7764.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7244,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7244
tutto ok,,,motornet_db29f9701bad81,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida Sport Speciale eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Sport Speciale eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Sport Speciale eDCT6,ibrida_benzina,,36150.0,motornet_prezzo_di_listino,100.0,136.0,4.8,,,,,109.0,assets/cars/motornet/motornet_db29f9701bad81.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7241,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7241
tutto ok,,,motornet_05f87db25ded8a,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida eDCT6,ibrida_benzina,,32950.0,motornet_prezzo_di_listino,100.0,136.0,4.8,,,,,109.0,assets/cars/motornet/motornet_05f87db25ded8a.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7239,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7239
